UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,29,4660017,2360664,2299353,1710257,1647106,374210,371885,35925,34021,159843,165281,7004,6634,73425,74426,1775017,1712630,405940,405496,58832,56600,187653,193247,13858,13478,1852771,1818388,1265460,1226856,348640,346954,20598,19994,154970,160279,5034,4895,58069,59410,1316624,1279184,373484,373682,36643,36023,178726,184115,10455,10200,507893,480965,444797,420250,25570,24931,15327,14027,4873,5002,1970,1739,15356,15016,458393,433446,32456,31814,22189,20577,8927,9132,3403,3278
R,7,2021,30,4730811,2390865,2339946,1733803,1674822,376006,377964,35852,33392,167545,174321,7655,7042,70004,72405,1794651,1737907,405591,410502,57723,55264,195213,202366,14692,14050,1886135,1867781,1293464,1264193,349606,352192,20351,19709,162328,168976,5551,5245,54835,57466,1340940,1314149,372409,377851,35459,35074,185957,192818,11074,10820,504730,472165,440339,410629,26400,25772,15501,13683,5217,5345,2104,1797,15169,14939,453711,423758,33182,32651,22264,20190,9256,9548,3618,3230
R,7,2021,31,4745375,2395705,2349670,1745195,1684887,370293,376632,35463,32704,171513,179657,7827,7179,65414,68611,1802226,1744773,397176,406769,55838,53867,197862,206181,14427,13790,1892299,1884543,1305298,1280333,344182,350724,19805,19385,166265,174486,5608,5380,51141,54235,1349688,1327515,364723,374198,33868,34165,188808,197187,10805,10639,503406,465127,439897,404554,26111,25908,15658,13319,5248,5171,2219,1799,14273,14376,452538,417258,32453,32571,21970,19702,9054,8994,3622,3151
R,7,2021,32,4612291,2330455,2281836,1705402,1637747,349562,359129,34234,31111,172611,182882,7643,6867,61003,64100,1758558,1693545,374180,386812,53621,50791,197146,208207,13796,13140,1844455,1837235,1280532,1250656,324498,334329,18833,18348,167624,177771,5625,5183,47343,50948,1321625,1294833,342932,355956,32026,32227,188639,199584,10531,10186,486000,444601,424870,387091,25064,24800,15401,12763,4987,5111,2018,1684,13660,13152,436933,398712,31248,30856,21595,18564,8507,8623,3265,2954
R,7,2021,33,4531756,2288929,2242827,1691335,1624316,329276,340474,33765,30587,168994,179677,7660,6836,57899,60937,1741586,1677431,351975,366540,52085,49406,192825,203836,13752,12864,1801501,1801586,1263876,1239642,305166,316224,18205,17727,164177,174850,5540,5161,44537,47982,1302349,1281380,321932,336175,30426,30848,184581,195583,10335,9999,487428,441241,427459,384674,24110,24250,15560,12860,4817,4827,2120,1675,13362,12955,439237,396051,30043,30365,21659,18558,8244,8253,3417,2865
R,7,2021,34,4482395,2268350,2214045,1688651,1611152,317589,330001,32833,29694,167077,177453,7561,6765,54639,58980,1736133,1662573,338987,354912,50530,48399,189397,200802,13198,12512,1784735,1776278,1263435,1229004,294189,306242,17611,17160,162251,172776,5429,5014,41820,46082,1299539,1269026,309796,325149,29432,30076,181384,192822,9948,9584,483615,437767,425216,382148,23400,23759,15222,12534,4826,4677,2132,1751,12819,12898,436594,393547,29191,29763,21098,18323,8013,7980,3250,2928
R,7,2021,35,4492867,2275283,2217584,1703545,1622289,310581,324855,32586,29570,167669,177812,7676,6837,53226,56221,1749728,1670988,330874,348138,50068,47871,189444,200112,13391,12538,1786904,1779699,1273806,1239342,287138,301207,16943,16830,162874,173227,5494,5183,40649,43910,1308881,1277196,301810,318844,28614,29634,181486,192291,10045,9761,488379,437885,429739,382947,23443,23648,15643,12740,4795,4585,2182,1654,12577,12311,440847,393792,29064,29294,21454,18237,7958,7821,3346,2777
R,7,2021,36,4490254,2270793,2219461,1706861,1626825,306024,321609,31857,29354,167279,179650,7574,6740,51198,55283,1751250,1674785,325192,343787,49067,47671,188214,201905,13167,12412,1783287,1781841,1277226,1243941,283200,298096,16486,16681,162532,175127,5357,5100,38486,42896,1310330,1280973,296733,314522,27795,29438,180331,194219,9774,9636,487506,437620,429635,382884,22824,23513,15371,12673,4747,4523,2217,1640,12712,12387,440920,393812,28459,29265,21272,18233,7883,7686,3393,2776
R,7,2021,37,4397037,2220050,2176987,1670924,1596082,293816,312563,31489,28901,167382,179399,7303,6573,49136,53469,1713466,1642402,311980,333427,48262,46977,187621,201211,12651,12189,1743694,1744586,1250810,1217196,271715,289893,16263,16290,162646,175043,5228,4902,37032,41262,1282646,1252766,284559,305200,27356,28824,179861,193632,9449,9386,476356,432401,420114,378886,22101,22670,15226,12611,4736,4356,2075,1671,12104,12207,430820,389636,27421,28227,20906,18153,7760,7579,3202,2803
R,7,2021,38,4463130,2251810,2211320,1700608,1624391,296378,317069,32098,29442,165783,180035,7372,6777,49571,53606,1743569,1670648,314505,337893,49108,47950,186105,201687,12784,12454,1767914,1770397,1273227,1238565,274288,293388,16423,16513,161104,175543,5306,5080,37566,41308,1305524,1274010,287115,308640,27865,29330,178401,194046,9605,9605,483896,440923,427381,385826,22090,23681,15675,12929,4679,4492,2066,1697,12005,12298,438045,396638,27390,29253,21243,18620,7704,7641,3179,2849
R,7,2021,39,4456030,2245897,2210133,1700289,1626073,294827,317349,31524,28706,163627,179050,7408,6687,48222,52268,1742044,1671096,312362,337907,48550,47027,183109,199845,12738,12221,1762975,1766690,1273757,1237125,272721,294018,16129,15819,158940,174430,5302,4935,36126,40363,1304766,1271698,285017,309142,27429,28616,175347,192160,9513,9367,482922,443443,426532,388948,22106,23331,15395,12887,4687,4620,2106,1752,12096,11905,437278,399398,27345,28765,21121,18411,7762,7685,3225,2854
R,7,2021,40,4391796,2211730,2180066,1681198,1608218,290689,314215,30609,28560,154740,171760,7159,6247,47335,51066,1721946,1652323,307914,334398,47464,46507,173850,191784,12433,11656,1738325,1743577,1262624,1225445,269355,291149,15525,15954,150058,167256,5115,4582,35648,39191,1293072,1259061,281476,305839,26821,28413,166272,184352,9285,8952,473405,436489,418574,382773,21334,23066,15084,12606,4682,4504,2044,1665,11687,11875,428874,393262,26438,28559,20643,18094,7578,7432,3148,2704
R,7,2021,41,4372860,2200412,2172448,1669200,1597831,294865,319538,30809,28422,152179,169831,7145,6456,46214,50370,1709084,1641179,311637,339416,47828,46469,170514,189506,12329,11870,1722959,1736216,1247655,1215101,273099,296571,15539,15846,147492,165371,4973,4825,34201,38502,1276908,1247961,284665,310960,26803,28434,162778,182046,9070,9163,477453,436232,421545,382730,21766,22967,15270,12576,4687,4460,2172,1631,12013,11868,432176,393218,26972,28456,21025,18035,7736,7460,3259,2707
